                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7191,                 1.9381,                 1.5478,                0.99901,                      1,                  0.995,                0.72131,                 1.1346,                0.86565,                  2.617,             0.00054795,             0.00054795,             0.00054795
                      2,                0.40323,                0.51806,                 1.5071,                0.99896,                      1,                  0.995,                0.80527,                0.92226,                0.51266,                 2.4515,              0.0010927,              0.0010927,              0.0010927
                      3,                0.37577,                0.39313,                 1.4907,                0.99941,                      1,                  0.995,                0.78131,                0.91883,                0.40659,                 2.8935,              0.0016264,              0.0016264,              0.0016264
                      4,                0.35417,                0.34887,                  1.478,                 0.9988,                      1,                  0.995,                0.75499,                0.87981,                0.39321,                 2.6543,              0.0016175,              0.0016175,              0.0016175
                      5,                0.30689,                 0.3065,                 1.4146,                0.99902,                      1,                  0.995,                0.79929,                0.89345,                0.40693,                 2.4345,              0.0016175,              0.0016175,              0.0016175
                      6,                0.30297,                 0.2929,                  1.455,                0.99849,                      1,                  0.995,                0.76597,                0.84862,                0.39919,                 2.4842,               0.001601,               0.001601,               0.001601
                      7,                0.28432,                0.27458,                 1.4312,                0.99856,                      1,                  0.995,                0.80372,                0.85702,                0.34106,                 2.4707,              0.0015845,              0.0015845,              0.0015845
                      8,                0.27446,                 0.2627,                 1.4146,                 0.9991,                      1,                  0.995,                0.75296,                0.92749,                0.36083,                 2.3396,               0.001568,               0.001568,               0.001568
                      9,                0.27885,                0.26173,                  1.421,                0.99883,                      1,                  0.995,                0.78419,                0.89489,                0.39098,                 2.3609,              0.0015515,              0.0015515,              0.0015515
                     10,                0.26144,                0.24657,                 1.4251,                0.99875,                      1,                  0.995,                 0.7853,                0.85581,                0.35909,                  2.438,               0.001535,               0.001535,               0.001535
                     11,                 0.2707,                0.24174,                 1.4125,                0.99915,                      1,                  0.995,                0.77129,                0.87596,                0.35174,                 2.4491,              0.0015185,              0.0015185,              0.0015185
                     12,                0.26366,                0.23836,                 1.4259,                 0.9993,                      1,                  0.995,                0.78973,                0.86547,                0.34195,                 2.5314,               0.001502,               0.001502,               0.001502
                     13,                0.25442,                0.23483,                 1.4244,                0.99974,                      1,                  0.995,                 0.8194,                0.82146,                0.33394,                 2.3613,              0.0014855,              0.0014855,              0.0014855
                     14,                0.24481,                0.22557,                 1.3918,                0.99872,                      1,                  0.995,                0.78085,                0.87445,                0.34009,                 2.4876,               0.001469,               0.001469,               0.001469
                     15,                0.24797,                0.21967,                 1.4034,                0.99918,                      1,                  0.995,                0.79717,                0.86926,                0.33867,                 2.3812,              0.0014525,              0.0014525,              0.0014525
                     16,                0.23189,                0.21569,                 1.3882,                0.99935,                      1,                  0.995,                0.78076,                0.88326,                0.35646,                 2.3632,               0.001436,               0.001436,               0.001436
                     17,                0.23521,                0.21408,                 1.3734,                0.99926,                      1,                  0.995,                0.82083,                0.84485,                0.33613,                  2.332,              0.0014195,              0.0014195,              0.0014195
                     18,                0.23115,                0.20648,                 1.4123,                0.99894,                      1,                  0.995,                 0.7724,                0.85798,                0.40471,                  2.393,              0.0014029,              0.0014029,              0.0014029
                     19,                0.23732,                0.21493,                 1.3873,                0.99878,                      1,                  0.995,                0.79654,                0.85273,                 0.3389,                  2.296,              0.0013864,              0.0013864,              0.0013864
                     20,                 0.2405,                0.21655,                 1.3982,                  0.999,                      1,                  0.995,                0.79217,                0.87233,                0.32802,                 2.2368,              0.0013699,              0.0013699,              0.0013699
                     21,                0.22468,                 0.2062,                  1.387,                0.99917,                      1,                  0.995,                0.76788,                0.86441,                0.37279,                 2.5061,              0.0013534,              0.0013534,              0.0013534
                     22,                0.23091,                0.21199,                  1.407,                0.99877,                      1,                  0.995,                0.76845,                0.88762,                0.35496,                 2.2542,              0.0013369,              0.0013369,              0.0013369
                     23,                0.23288,                0.20884,                 1.3698,                0.99926,                      1,                  0.995,                0.81767,                0.83342,                0.30066,                 2.4663,              0.0013204,              0.0013204,              0.0013204
                     24,                0.22415,                0.20298,                 1.3787,                0.99871,                      1,                  0.995,                0.80831,                0.85634,                0.36487,                 2.2127,              0.0013039,              0.0013039,              0.0013039
                     25,                0.21427,                0.19075,                 1.3725,                0.99879,                      1,                  0.995,                0.78179,                0.88098,                0.36213,                 2.3102,              0.0012874,              0.0012874,              0.0012874
                     26,                 0.2137,                0.19356,                 1.3521,                0.99883,                      1,                  0.995,                0.78827,                0.86886,                0.35666,                  2.241,              0.0012709,              0.0012709,              0.0012709
                     27,                0.21473,                0.19261,                  1.374,                0.99881,                      1,                  0.995,                0.78576,                0.84019,                0.32283,                 2.3227,              0.0012544,              0.0012544,              0.0012544
                     28,                0.22122,                0.19172,                 1.3804,                0.99952,                      1,                  0.995,                0.80792,                0.83714,                0.29508,                 2.4121,              0.0012379,              0.0012379,              0.0012379
                     29,                0.20812,                0.18545,                  1.361,                0.99897,                      1,                  0.995,                0.77482,                0.88699,                0.33514,                 2.3742,              0.0012214,              0.0012214,              0.0012214
                     30,                0.21787,                  0.189,                 1.3626,                0.99908,                      1,                  0.995,                0.78464,                0.88295,                0.33486,                  2.279,              0.0012049,              0.0012049,              0.0012049
                     31,                0.21338,                 0.1848,                 1.3912,                 0.9991,                      1,                  0.995,                0.76342,                0.89713,                0.35086,                 2.3522,              0.0011884,              0.0011884,              0.0011884
                     32,                0.21472,                0.18969,                 1.3886,                0.99929,                      1,                  0.995,                0.78647,                0.85693,                0.35614,                 2.2153,              0.0011719,              0.0011719,              0.0011719
                     33,                0.20611,                0.18252,                 1.3763,                0.99895,                      1,                  0.995,                0.79723,                0.86152,                0.34343,                  2.241,              0.0011554,              0.0011554,              0.0011554
                     34,                0.21005,                0.18817,                 1.3726,                0.99916,                      1,                  0.995,                0.82309,                0.80894,                0.28683,                 2.4649,              0.0011389,              0.0011389,              0.0011389
                     35,                0.20996,                0.18349,                 1.3724,                0.99902,                      1,                  0.995,                0.79532,                0.85744,                0.31526,                 2.4136,              0.0011224,              0.0011224,              0.0011224
                     36,                0.20423,                0.17896,                  1.368,                 0.9992,                      1,                  0.995,                0.81477,                 0.8256,                0.33314,                 2.3181,              0.0011059,              0.0011059,              0.0011059
                     37,                0.20328,                0.17819,                 1.3688,                0.99906,                      1,                  0.995,                0.79046,                0.86457,                0.31037,                 2.3739,              0.0010894,              0.0010894,              0.0010894
                     38,                0.19532,                0.17809,                 1.3626,                0.99951,                      1,                  0.995,                0.79023,                0.85744,                0.32622,                 2.3097,              0.0010729,              0.0010729,              0.0010729
                     39,                0.20135,                0.17754,                 1.3665,                0.99974,                      1,                  0.995,                 0.8058,                0.85299,                  0.318,                 2.2084,              0.0010564,              0.0010564,              0.0010564
                     40,                0.20664,                0.17665,                 1.3472,                0.99974,                      1,                  0.995,                0.81251,                0.84632,                0.32333,                 2.1791,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.2017,                0.17257,                 1.3854,                0.99948,                      1,                  0.995,                0.79417,                0.84684,                0.30387,                 2.3525,              0.0010234,              0.0010234,              0.0010234
                     42,                0.19741,                0.17188,                 1.3428,                0.99934,                      1,                  0.995,                0.80931,                0.84194,                0.32515,                 2.2221,              0.0010069,              0.0010069,              0.0010069
                     43,                0.19338,                0.16805,                 1.3613,                0.99975,                      1,                  0.995,                0.81345,                0.83129,                0.32525,                 2.2058,             0.00099036,             0.00099036,             0.00099036
                     44,                0.19709,                0.17368,                 1.3705,                0.99854,                      1,                  0.995,                0.79562,                0.85671,                 0.3233,                 2.3018,             0.00097386,             0.00097386,             0.00097386
